State,Feb-20,Feb-21,Mar-20,Mar-21,Jul-20,Jul-21,Aug-20,Aug-21,Sep-20,Sep-21,Oct-20,Oct-21,Nov-20,Nov-21,Dec-20,Dec-21,Feb-21,Feb-22,Mar-21,Mar-22,Apr-21,Apr-22,May-21,May-22,Jun-21,Jun-22
Goa,410.61,343.8,316.47,344.28,257,303,213,285,240,319,310,317,300,518,342,592,344,364,344,386,401,470,229,461,256,429
Lakshadweep,2.14,0.46,1.34,1.54,2,1,0,1,1,0,1,2,0,2,1,1,0,1,2,2,4,3,0,1,0,1
Tripura,63.26,63.25,67.1,87.9,48,65,43,56,50,50,57,67,58,58,74,68,63,66,88,82,110,107,39,65,43,63
Tamil Nadu,"6,426.49","7,008.21","6,177.82","7,579.18","4,635","6,302","5,243","7,060","6,454","7,842","6,901","7,642","7,084","7,795","6,905","6,635","7,008","7,393","7,579","8,023","8,849","9,724","5,592","7,910","4,380","8,027"
Puducherry,158.86,158.05,149.32,161.04,136,129,137,156,148,160,161,152,158,172,159,147,158,178,161,163,169,206,123,181,104,182
Andaman and Nicobar Islands,36.01,23.26,38.58,25.66,18,19,13,20,19,20,19,26,23,24,22,26,23,22,26,27,61,87,48,24,12,22
Telangana,"3,667.13","3,636.44","3,562.56","4,166.42","2,876","3,610","2,793","3,526","2,796","3,494","3,383","3,854","3,175","3,931","3,543","3,760","3,636","4,113","4,166","4,242","4,262","4,955","2,984","3,982","2,845","3,901"
Andhra Pradesh,"2,563.33","2,652.57","2,548.13","2,685.09","2,138","2,730","1,955","2,591","2,141","2,595","2,480","2,879","2,507","2,750","2,581","2,532","2,653","3,157","2,685","3,174","3,345","4,067","2,074","3,047","2,051","2,987"
Ladakh,0,9.06,0.84,13.67,7,13,5,14,9,15,15,19,9,13,8,15,9,16,14,23,31,47,5,12,6,13
Other Territory,145.11,134.33,132.49,122.39,97,141,180,109,110,132,91,137,79,95,88,140,134,136,122,149,159,216,121,185,127,205
Grand Total,"83,581.02","88,101.59",78693.75,"91,870","66,291","87,678","66,598","84,490","72,250","86,832","80,848","96,430","82,075","98,708","87,153","91,639","88,102","98,550","91,870","1,01,983","1,10,804","1,29,978","70,951","1,02,485","66,229","1,03,317"
Kerala,"1,754.12","1,806.10","1,475.25","1,827.94","1,318","1,675","1,229","1,612","1,552","1,764","1,665","1,932","1,568","2,129","1,776","1,895","1,806","2,074","1,828","2,089","2,466","2,689","1,147","2,064",998,"2,161"
Center Jurisdiction,100.14,129.03,81.48,141.12,179,161,161,214,121,191,114,189,138,180,127,186,129,167,141,170,142,167,141,140,164,143
